Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INFY,EQ,01-Jan-16,1105.4,1100,1108.95,1093.2,1103,1105.25,1103.13,903275,996433258.7,18982,331554,36.71
INFY,EQ,04-Jan-16,1105.25,1099.95,1102.45,1076.05,1078.5,1078.9,1087.82,1987681,2162230784,53877,1247329,62.75
INFY,EQ,05-Jan-16,1078.9,1085.5,1085.5,1062.25,1073,1074.05,1073.17,2474893,2655975461,62085,1566206,63.28
INFY,EQ,06-Jan-16,1074.05,1074.65,1074.65,1058.9,1068.5,1069.35,1067.55,2794164,2982910238,76128,1985200,71.05
INFY,EQ,07-Jan-16,1069.35,1060.05,1067.9,1047.9,1052.55,1050.8,1057.5,2647044,2799255720,79845,1650344,62.35
INFY,EQ,08-Jan-16,1050.8,1061.5,1067.4,1055.5,1064.65,1063.3,1061.56,1578358,1675521986,47934,847886,53.72
INFY,EQ,11-Jan-16,1063.3,1056.3,1069.95,1052.1,1054.5,1055.7,1057.72,2680311,2835019451,66784,1635209,61.01
INFY,EQ,12-Jan-16,1055.7,1062,1062.95,1030.85,1048.05,1049.95,1046.58,3282606,3435500122,95213,2327621,70.91
INFY,EQ,13-Jan-16,1049.95,1057,1091,1048.1,1081.05,1083.4,1073.58,4375647,4697626038,82289,2136586,48.83
INFY,EQ,14-Jan-16,1083.4,1066,1155,1054.35,1137.5,1133,1128.78,15113503,17059827437,335583,5601848,37.07
INFY,EQ,15-Jan-16,1133,1148,1164,1137.55,1140,1139.9,1147.83,6518307,7481937163,168749,3790529,58.15
INFY,EQ,18-Jan-16,1139.9,1139.9,1162.1,1128.35,1129.6,1131.9,1144.54,5033306,5760833305,124462,3285743,65.28
INFY,EQ,19-Jan-16,1131.9,1135,1158.95,1128.55,1140.25,1139.65,1143.19,3750218,4287225460,131724,2249627,59.99
INFY,EQ,20-Jan-16,1139.65,1134,1160,1117,1120.75,1121.25,1127.86,3753999,4233996103,106567,2197144,58.53
INFY,EQ,21-Jan-16,1121.25,1135,1142.5,1122,1139.65,1137.05,1133.26,3371500,3820774624,107775,2004650,59.46
INFY,EQ,22-Jan-16,1137.05,1148.1,1152.5,1131,1140,1136.25,1139.49,3218009,3666879628,106108,2176678,67.64
INFY,EQ,25-Jan-16,1136.25,1140.25,1146.85,1124.55,1141,1137.65,1136.23,2289631,2601551835,78546,1529972,66.82
INFY,EQ,27-Jan-16,1137.65,1146.45,1149.6,1135,1135.35,1138.5,1141.44,3485981,3979041708,79129,2274278,65.24
INFY,EQ,28-Jan-16,1138.5,1136,1142.6,1126.2,1129.1,1129.6,1131.59,3894299,4406764531,67003,3016965,77.47
INFY,EQ,29-Jan-16,1129.6,1138,1170,1131.6,1166,1164.9,1155.59,5116054,5912064476,105694,3658298,71.51
INFY,EQ,01-Feb-16,1164.9,1170,1179.9,1161.6,1171.5,1173.35,1171.18,2125563,2489417760,69859,1159429,54.55
INFY,EQ,02-Feb-16,1173.35,1176.85,1190,1164,1168.4,1175.55,1181.63,3816351,4509511502,87845,2430012,63.67
INFY,EQ,03-Feb-16,1175.55,1167.8,1175.9,1152.75,1158.9,1157.7,1163.28,2622983,3051257780,64989,1613649,61.52
INFY,EQ,04-Feb-16,1157.7,1160.05,1194.95,1160.05,1179.3,1179.75,1181.37,2774673,3277919302,68846,1524604,54.95
